Identifier,State,Year
"AK1996","AK","1996"
"AK1998","AK","1998"
"AK2000","AK","2000"
"AK2002","AK","2002"
"AK2004","AK","2004"
"AK2006","AK","2006"
"AK2008","AK","2008"
"AK2010","AK","2010"
"AK2012","AK","2012"
"AK2014","AK","2014"
"AK2016","AK","2016"
"AK2018","AK","2018"
"AK2020","AK","2020"
"AL1996","AL","1996"
"AL1998","AL","1998"
"AL2000","AL","2000"
"AL2002","AL","2002"
"AL2004","AL","2004"
"AL2006","AL","2006"
"AL2008","AL","2008"
"AL2010","AL","2010"
"AL2012","AL","2012"
"AL2014","AL","2014"
"AL2016","AL","2016"
"AL2018","AL","2018"
"AL2020","AL","2020"
"AR1996","AR","1996"
"AR1998","AR","1998"
"AR2000","AR","2000"
"AR2002","AR","2002"
"AR2004","AR","2004"
"AR2006","AR","2006"
"AR2008","AR","2008"
"AR2010","AR","2010"
"AR2012","AR","2012"
"AR2014","AR","2014"
"AR2016","AR","2016"
"AR2018","AR","2018"
"AR2020","AR","2020"
"AZ1996","AZ","1996"
"AZ1998","AZ","1998"
"AZ2000","AZ","2000"
"AZ2002","AZ","2002"
"AZ2004","AZ","2004"
"AZ2006","AZ","2006"
"AZ2008","AZ","2008"
"AZ2010","AZ","2010"
"AZ2012","AZ","2012"
"AZ2014","AZ","2014"
"AZ2016","AZ","2016"
"AZ2018","AZ","2018"
"AZ2020","AZ","2020"
"CA1996","CA","1996"
"CA1998","CA","1998"
"CA2000","CA","2000"
"CA2002","CA","2002"
"CA2004","CA","2004"
"CA2006","CA","2006"
"CA2008","CA","2008"
"CA2010","CA","2010"
"CA2012","CA","2012"
"CA2014","CA","2014"
"CA2016","CA","2016"
"CA2018","CA","2018"
"CA2020","CA","2020"
"CO1996","CO","1996"
"CO1998","CO","1998"
"CO2000","CO","2000"
"CO2002","CO","2002"
"CO2004","CO","2004"
"CO2006","CO","2006"
"CO2008","CO","2008"
"CO2010","CO","2010"
"CO2012","CO","2012"
"CO2014","CO","2014"
"CO2016","CO","2016"
"CO2018","CO","2018"
"CO2020","CO","2020"
"CT1996","CT","1996"
"CT1998","CT","1998"
"CT2000","CT","2000"
"CT2002","CT","2002"
"CT2004","CT","2004"
"CT2006","CT","2006"
"CT2008","CT","2008"
"CT2010","CT","2010"
"CT2012","CT","2012"
"CT2014","CT","2014"
"CT2016","CT","2016"
"CT2018","CT","2018"
"CT2020","CT","2020"
"DE1996","DE","1996"
"DE1998","DE","1998"
"DE2000","DE","2000"
"DE2002","DE","2002"
"DE2004","DE","2004"
"DE2006","DE","2006"
"DE2008","DE","2008"
"DE2010","DE","2010"
"DE2012","DE","2012"
"DE2014","DE","2014"
"DE2016","DE","2016"
"DE2018","DE","2018"
"DE2020","DE","2020"
"FL1996","FL","1996"
"FL1998","FL","1998"
"FL2000","FL","2000"
"FL2002","FL","2002"
"FL2004","FL","2004"
"FL2006","FL","2006"
"FL2008","FL","2008"
"FL2010","FL","2010"
"FL2012","FL","2012"
"FL2014","FL","2014"
"FL2016","FL","2016"
"FL2018","FL","2018"
"FL2020","FL","2020"
"GA1996","GA","1996"
"GA1998","GA","1998"
"GA2000","GA","2000"
"GA2002","GA","2002"
"GA2004","GA","2004"
"GA2006","GA","2006"
"GA2008","GA","2008"
"GA2010","GA","2010"
"GA2012","GA","2012"
"GA2014","GA","2014"
"GA2016","GA","2016"
"GA2018","GA","2018"
"GA2020","GA","2020"
"HI1996","HI","1996"
"HI1998","HI","1998"
"HI2000","HI","2000"
"HI2002","HI","2002"
"HI2004","HI","2004"
"HI2006","HI","2006"
"HI2008","HI","2008"
"HI2010","HI","2010"
"HI2012","HI","2012"
"HI2014","HI","2014"
"HI2016","HI","2016"
"HI2018","HI","2018"
"HI2020","HI","2020"
"IA1996","IA","1996"
"IA1998","IA","1998"
"IA2000","IA","2000"
"IA2002","IA","2002"
"IA2004","IA","2004"
"IA2006","IA","2006"
"IA2008","IA","2008"
"IA2010","IA","2010"
"IA2012","IA","2012"
"IA2014","IA","2014"
"IA2016","IA","2016"
"IA2018","IA","2018"
"IA2020","IA","2020"
"ID1996","ID","1996"
"ID1998","ID","1998"
"ID2000","ID","2000"
"ID2002","ID","2002"
"ID2004","ID","2004"
"ID2006","ID","2006"
"ID2008","ID","2008"
"ID2010","ID","2010"
"ID2012","ID","2012"
"ID2014","ID","2014"
"ID2016","ID","2016"
"ID2018","ID","2018"
"ID2020","ID","2020"
"IL1996","IL","1996"
"IL1998","IL","1998"
"IL2000","IL","2000"
"IL2002","IL","2002"
"IL2004","IL","2004"
"IL2006","IL","2006"
"IL2008","IL","2008"
"IL2010","IL","2010"
"IL2012","IL","2012"
"IL2014","IL","2014"
"IL2016","IL","2016"
"IL2018","IL","2018"
"IL2020","IL","2020"
"IN1996","IN","1996"
"IN1998","IN","1998"
"IN2000","IN","2000"
"IN2002","IN","2002"
"IN2004","IN","2004"
"IN2006","IN","2006"
"IN2008","IN","2008"
"IN2010","IN","2010"
"IN2012","IN","2012"
"IN2014","IN","2014"
"IN2016","IN","2016"
"IN2018","IN","2018"
"IN2020","IN","2020"
"KS1996","KS","1996"
"KS1998","KS","1998"
"KS2000","KS","2000"
"KS2002","KS","2002"
"KS2004","KS","2004"
"KS2006","KS","2006"
"KS2008","KS","2008"
"KS2010","KS","2010"
"KS2012","KS","2012"
"KS2014","KS","2014"
"KS2016","KS","2016"
"KS2018","KS","2018"
"KS2020","KS","2020"
"KY1996","KY","1996"
"KY1998","KY","1998"
"KY2000","KY","2000"
"KY2002","KY","2002"
"KY2004","KY","2004"
"KY2006","KY","2006"
"KY2008","KY","2008"
"KY2010","KY","2010"
"KY2012","KY","2012"
"KY2014","KY","2014"
"KY2016","KY","2016"
"KY2018","KY","2018"
"KY2020","KY","2020"
"LA1996","LA","1996"
"LA1998","LA","1998"
"LA2000","LA","2000"
"LA2002","LA","2002"
"LA2004","LA","2004"
"LA2006","LA","2006"
"LA2008","LA","2008"
"LA2010","LA","2010"
"LA2012","LA","2012"
"LA2014","LA","2014"
"LA2016","LA","2016"
"LA2018","LA","2018"
"LA2020","LA","2020"
"MA1996","MA","1996"
"MA1998","MA","1998"
"MA2000","MA","2000"
"MA2002","MA","2002"
"MA2004","MA","2004"
"MA2006","MA","2006"
"MA2008","MA","2008"
"MA2010","MA","2010"
"MA2012","MA","2012"
"MA2014","MA","2014"
"MA2016","MA","2016"
"MA2018","MA","2018"
"MA2020","MA","2020"
"MD1996","MD","1996"
"MD1998","MD","1998"
"MD2000","MD","2000"
"MD2002","MD","2002"
"MD2004","MD","2004"
"MD2006","MD","2006"
"MD2008","MD","2008"
"MD2010","MD","2010"
"MD2012","MD","2012"
"MD2014","MD","2014"
"MD2016","MD","2016"
"MD2018","MD","2018"
"MD2020","MD","2020"
"ME1996","ME","1996"
"ME1998","ME","1998"
"ME2000","ME","2000"
"ME2002","ME","2002"
"ME2004","ME","2004"
"ME2006","ME","2006"
"ME2008","ME","2008"
"ME2010","ME","2010"
"ME2012","ME","2012"
"ME2014","ME","2014"
"ME2016","ME","2016"
"ME2018","ME","2018"
"ME2020","ME","2020"
"MI1996","MI","1996"
"MI1998","MI","1998"
"MI2000","MI","2000"
"MI2002","MI","2002"
"MI2004","MI","2004"
"MI2006","MI","2006"
"MI2008","MI","2008"
"MI2010","MI","2010"
"MI2012","MI","2012"
"MI2014","MI","2014"
"MI2016","MI","2016"
"MI2018","MI","2018"
"MI2020","MI","2020"
"MN1996","MN","1996"
"MN1998","MN","1998"
"MN2000","MN","2000"
"MN2002","MN","2002"
"MN2004","MN","2004"
"MN2006","MN","2006"
"MN2008","MN","2008"
"MN2010","MN","2010"
"MN2012","MN","2012"
"MN2014","MN","2014"
"MN2016","MN","2016"
"MN2018","MN","2018"
"MN2020","MN","2020"
"MO1996","MO","1996"
"MO1998","MO","1998"
"MO2000","MO","2000"
"MO2002","MO","2002"
"MO2004","MO","2004"
"MO2006","MO","2006"
"MO2008","MO","2008"
"MO2010","MO","2010"
"MO2012","MO","2012"
"MO2014","MO","2014"
"MO2016","MO","2016"
"MO2018","MO","2018"
"MO2020","MO","2020"
"MS1996","MS","1996"
"MS1998","MS","1998"
"MS2000","MS","2000"
"MS2002","MS","2002"
"MS2004","MS","2004"
"MS2006","MS","2006"
"MS2008","MS","2008"
"MS2010","MS","2010"
"MS2012","MS","2012"
"MS2014","MS","2014"
"MS2016","MS","2016"
"MS2018","MS","2018"
"MS2020","MS","2020"
"MT1996","MT","1996"
"MT1998","MT","1998"
"MT2000","MT","2000"
"MT2002","MT","2002"
"MT2004","MT","2004"
"MT2006","MT","2006"
"MT2008","MT","2008"
"MT2010","MT","2010"
"MT2012","MT","2012"
"MT2014","MT","2014"
"MT2016","MT","2016"
"MT2018","MT","2018"
"MT2020","MT","2020"
"NC1996","NC","1996"
"NC1998","NC","1998"
"NC2000","NC","2000"
"NC2002","NC","2002"
"NC2004","NC","2004"
"NC2006","NC","2006"
"NC2008","NC","2008"
"NC2010","NC","2010"
"NC2012","NC","2012"
"NC2014","NC","2014"
"NC2016","NC","2016"
"NC2018","NC","2018"
"NC2020","NC","2020"
"ND1996","ND","1996"
"ND1998","ND","1998"
"ND2000","ND","2000"
"ND2002","ND","2002"
"ND2004","ND","2004"
"ND2006","ND","2006"
"ND2008","ND","2008"
"ND2010","ND","2010"
"ND2012","ND","2012"
"ND2014","ND","2014"
"ND2016","ND","2016"
"ND2018","ND","2018"
"ND2020","ND","2020"
"NE1996","NE","1996"
"NE1998","NE","1998"
"NE2000","NE","2000"
"NE2002","NE","2002"
"NE2004","NE","2004"
"NE2006","NE","2006"
"NE2008","NE","2008"
"NE2010","NE","2010"
"NE2012","NE","2012"
"NE2014","NE","2014"
"NE2016","NE","2016"
"NE2018","NE","2018"
"NE2020","NE","2020"
"NH1996","NH","1996"
"NH1998","NH","1998"
"NH2000","NH","2000"
"NH2002","NH","2002"
"NH2004","NH","2004"
"NH2006","NH","2006"
"NH2008","NH","2008"
"NH2010","NH","2010"
"NH2012","NH","2012"
"NH2014","NH","2014"
"NH2016","NH","2016"
"NH2018","NH","2018"
"NH2020","NH","2020"
"NJ1996","NJ","1996"
"NJ1998","NJ","1998"
"NJ2000","NJ","2000"
"NJ2002","NJ","2002"
"NJ2004","NJ","2004"
"NJ2006","NJ","2006"
"NJ2008","NJ","2008"
"NJ2010","NJ","2010"
"NJ2012","NJ","2012"
