Identifier,State,Year,ContributionsToParties_Citation,IndividualToParty,IndividualToPartyLimit,IndividualToPartyLimit_Period,IndividualToPartyLimit_Max,IndividualToPartyLimit_Explained,CandToParty,CandToPartyLimit,CandToPartyLimit_Period,CandToPartyLimit_Max,CandToPartyLimit_Explained,PACToParty,PACToPartyLimit,PACToPartyLimit_Period,PACToPartyLimit_Max,PACToPartyLimit_Explained,CorpToParty,CorpToPartyLimit,CorpToPartyLimit_Period,CorpToPartyLimit_Max,CorpToPartyLimit_Explained,LaborToParty,LaborToPartyLimit,LaborToPartyLimit_Period,LaborToPartyLimit_Max,LaborToPartyLimit_Explained,LocalPToParty,LocalPToPartyLimit,LocalToPartyLimit_Period,LocalToPartyLimit_Max,LocalToPartyLimit_Explained,NationalPToParty,NationalPToPartyLimit,NationalPToPartyLimit_Period,NationalPToPartyLimit_Max,NationalPToPartyLimit_Explained,PartyLimitExemptions,PartyLimitExemptionsExplained,IndividualToLCC,IndividualToLCCLimit,IndividualToLCCLimit_Period,IndividualToLCCLimit_Max,IndividualToLCCLimit_Explained,CandToLCC,CandToLCCLimit,CandToLCCLimit_Period,CandToLCCLimit_Max,CandToLCCLimit_Explained,PACToLCC,PACToLCCLimit,PACToLCCLimit_Period,PACToLCCLimit_Max,PACToLCCLimit_Explained,CorpToLCC,CorpToLCCLimit,CorpToLCCLimit_Period,CorpToLCCLimit_Max,CorpToLCCLimit_Explained,LaborToLCC,LaborToLCCLimit,LaborToLCCLimit_Period,LaborToLCCLimit_Max,LaborToLCCLimit_Explained,LocalPToLCC,LocalPToLCCLimit,LocalPToLCCLimit_Period,LocalPToLCCLimit_Max,LocalPToLCCLimit_Explained,NationalPToLCC,NationalPToLCCLimit,NationalPToLCCLimit_Period,NationalPToLCCLimit_Max,NationalPToLCCLimit_Explained,LegCampaignCommLimit,LCCLimitExemptions,LCCLimitExemptionsExplained,DonorAggToPartyLimit,DonorAggToPartyLimit_Explained,PoliticalCommittees_Citation,IndividualToPAC,IndividualToPACLimit,IndividualToPACLimit_Period,IndividualToPACLimit_Max,IndividualToPACLimit_Explained,PACToPAC,PACToPACLimit,PACToPACLimit_Period,PACToPACLimit_Max,PACToPACLimit_Explained,CorpToPAC,CorpToPACLimit,CorpToPACLimit_Period,CorpToPACLimit_Max,CorpToPACLimit_Explained,LaborToPAC,LaborToPACLimit,LaborToPACLimit_Period,LaborToPACLimit_Max,LaborToPACLimit_Explained,StatePToPAC,StatePToPACLimit,StatePToPACLimit_Period,StatePToPACLimit_Max,StatePToPACLimit_Explained,LocalPToPAC,LocalPToPACLimit,LocalPToPACLimit_Period,LocalPToPACLimit_Max,LocalPToPACLimit_Explained,CandToPAC,CandToPACLimit,CandToPACLimit_Period,CandToPACLimit_Max,CandToPACLimit_Explained,DonorAggToPACLimit,DonorAggToPACLimit_Explained
"AK1996","AK",1996,"Alaska Stat. § 15.13.070","Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,,,,,,"Alaska Stat. § 15.13.070","Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",
"AK1998","AK",1998,"am § 2 ch 74 SLA 1998; Alaska Stat. § 15.13.070, 15.13.074","Limited",5000,"Per Year",10000,,"Limited",5000,"Per Year",,,"Limited",1000,"Per Year",,,"Prohibited",,,,,"Prohibited",,,,,"Prohibited",,,,,"Prohibited",,,,,"No",,"Limited",500,"Per Year",,,"Limited",500,"Per Year",,,"Limited",1000,"Per Year",,,,,,,,,,,,,,,,,,,,,,,"No","No",,,,"am § 2 ch 74 SLA 1998; Alaska Stat. § 15.13.070, 15.13.074","Limited",500,"Per Year",1000,,"Limited",1000,"Per Year",2000,,"Prohibited",,,,,"Prohibited",,,,,"Unlimited",,,,,"Prohibited",,,,,"Limited",500,"Per Year",,,"Yes",
"AK2000","AK",2000,"am § 2 ch 74 SLA 1998; Alaska Stat. § 15.13.070, 15.13.074","Limited",5000,"Per Year",10000,,"Limited",5000,"Per Year",,,"Limited",1000,"Per Year",,,"Prohibited",,,,,"Prohibited",,,,,"Prohibited",,,,,"Prohibited",,,,,"No","No","Limited",500,"Per Year",,,"Limited",500,"Per Year",,,"Limited",1000,"Per Year",,,,,,,,,,,,,,,,,,,,,,,"No","No",,,,"am § 2 ch 74 SLA 1998; Alaska Stat. § 15.13.070, 15.13.074","Limited",500,"Per Year",1000,,"Limited",1000,"Per Year",2000,,"Prohibited",,,,,"Prohibited",,,,,"Unlimited",,,,,"Prohibited",,,,,"Limited",500,"Per Year",,,"Yes",
"AK2002","AK",2002,"am §§ 9 -- 11 ch 1 SLA 2002; am § 2 ch 3 SLA 2002; Alaska Stat. § 15.13.070, 15.13.074","Limited",5000,"Per Year",10000,,"Limited",5000,"Per Year",,,"Limited",1000,"Per Year",,,"Other",,,,"Jacobus, et al v. State of Alaska enjoins Commission from enforcing ban on corporate contirbutions to parties for party-building activities","Prohibited",,,,,"Prohibited",,,,,"Prohibited",,,,,"No","No","Limited",500,"Per Year",,,"Limited",500,"Per Year",,,"Limited",1000,"Per Year",,,"Prohibited",,,,,"Prohibited",,,,,"Prohibited",,,,,"Prohibited",,,,,"No","No",,,,"am §§ 9 -- 11 ch 1 SLA 2002; am § 2 ch 3 SLA 2002; Alaska Stat. § 15.13.070, 15.13.074","Limited",500,"Per Year",1000,,"Limited",1000,"Per Year",2000,,"Prohibited",,,,,"Prohibited",,,,,"Unlimited",,,,,"Prohibited",,,,,"Limited",500,"Per Year",,,"Yes",
"AK2004","AK",2004,"am §§ 8 -- 10 ch 108 SLA 2003; Alaska Stat. § 15.13.070","Limited",10000,"Per Year",20000,,"Limited",10000,"Per Year",,,"Limited",4000,"Per Year",,,"Prohibited",,,,,"Prohibited",,,,,"Prohibited",,,,,"Prohibited",,,,,"No","No","Limited",1000,"Per Year",,,"Limited",1000,"Per Year",,,"Limited",2000,"Per Year",,,"Prohibited",,,,,"Prohibited",,,,,"Prohibited",,,,,"Prohibited",,,,,"No","No",,,,"am §§ 9 -- 11 ch 1 SLA 2002; am § 2 ch 3 SLA 2002; Alaska Stat. § 15.13.070, 15.13.074","Limited",1000,"Per Year",2000,,"Limited",2000,"Per Year",4000,,"Prohibited",,,,,"Prohibited",,,,,"Unlimited",,,,,"Prohibited",,,,,"Limited",1000,"Per Year",,,"Yes",
"AK2006","AK",2006,"am §§ 8 -- 10 ch 108 SLA 2003; Alaska Stat. § 15.13.070","Limited",10000,"Per Year",20000,,"Limited",10000,"Per Year",,,"Limited",4000,"Per Year",,,"Prohibited",,,,,"Prohibited",,,,,"Prohibited",,,,,"Prohibited",,,,,"No","No","Limited",1000,"Per Year",,,"Limited",1000,"Per Year",,,"Limited",2000,"Per Year",,,"Prohibited",,,,,"Prohibited",,,,,"Prohibited",,,,,"Prohibited",,,,,"No","No",,,,"am §§ 9 -- 11 ch 1 SLA 2002; am § 2 ch 3 SLA 2002; Alaska Stat. § 15.13.070, 15.13.074","Limited",1000,"Per Year",2000,,"Limited",2000,"Per Year",4000,,"Prohibited",,,,,"Prohibited",,,,,"Unlimited",,,,,"Prohibited",,,,,"Limited",1000,"Per Year",,,"Yes",
"AK2008","AK",2008,"am §§ 8 -- 10 ch 108 SLA 2003; Alaska Stat. § 15.13.070","Limited",5000,"Per Year",10000,,"Limited",5000,"Per Year",,,"Limited",1000,"Per Year",,,"Prohibited",,,,,"Prohibited",,,,,"Prohibited",,,,,"Prohibited",,,,,"No","No","Limited",1000,"Per Year",,,"Limited",1000,"Per Year",,,"Limited",1000,"Per Year",,,"Prohibited",,,,,"Prohibited",,,,,"Prohibited",,,,,"Prohibited",,,,,"No","No",,,,"am §§ 9 -- 11 ch 1 SLA 2002; am § 2 ch 3 SLA 2002; Alaska Stat. § 15.13.070, 15.13.074","Limited",500,"Per Year",1000,,"Limited",1000,"Per Year",2000,,"Prohibited",,,,,"Prohibited",,,,,"Unlimited",,,,,"Prohibited",,,,,"Limited",500,"Per Year",,,"Yes",
"AK2010","AK",2010,"am §§ 8 -- 10 ch 108 SLA 2003; Alaska Stat. § 15.13.070","Limited",5000,"Per Year",10000,,"Limited",5000,"Per Year",,,"Limited",1000,"Per Year",,,"Prohibited",,,,,"Prohibited",,,,,"Prohibited",,,,,"Prohibited",,,,,"No","No","Limited",1000,"Per Year",,,"Limited",1000,"Per Year",,,"Limited",1000,"Per Year",,,"Prohibited",,,,,"Prohibited",,,,,"Prohibited",,,,,"Prohibited",,,,,"No","No",,,,"am §§ 9 -- 11 ch 1 SLA 2002; am § 2 ch 3 SLA 2002; Alaska Stat. § 15.13.070, 15.13.074","Limited",500,"Per Year",1000,,"Limited",1000,"Per Year",2000,,"Prohibited",,,,,"Prohibited",,,,,"Unlimited",,,,,"Prohibited",,,,,"Limited",500,"Per Year",,,"Yes",
"AK2012","AK",2012,"am §§ 8 -- 10 ch 108 SLA 2003; Alaska Stat. § 15.13.070","Limited",5000,"Per Year",10000,,"Limited",5000,"Per Year",,,"Limited",1000,"Per Year",,,"Prohibited",,,,,"Prohibited",,,,,"Prohibited",,,,,"Prohibited",,,,,"No","No","Limited",1000,"Per Year",,,"Limited",1000,"Per Year",,,"Limited",1000,"Per Year",,,"Prohibited",,,,,"Prohibited",,,,,"Prohibited",,,,,"Prohibited",,,,,"No","No",,,,"am §§ 9 -- 11 ch 1 SLA 2002; am § 2 ch 3 SLA 2002; Alaska Stat. § 15.13.070, 15.13.074","Limited",500,"Per Year",1000,,"Limited",1000,"Per Year",2000,,"Prohibited",,,,,"Prohibited",,,,,"Unlimited",,,,,"Prohibited",,,,,"Limited",500,"Per Year",,,"Yes",
"AK2014","AK",2014,"am §§ 8 -- 10 ch 108 SLA 2003; Alaska Stat. § 15.13.070","Limited",5000,"Per Year",10000,,"Limited",5000,"Per Year",,,"Limited",1000,"Per Year",,,"Prohibited",,,,,"Prohibited",,,,,"Prohibited",,,,,"Prohibited",,,,,"No","No","Limited",1000,"Per Year",,,"Limited",1000,"Per Year",,,"Limited",1000,"Per Year",,,"Prohibited",,,,,"Prohibited",,,,,"Prohibited",,,,,"Prohibited",,,,,"No","No",,,,"am §§ 9 -- 11 ch 1 SLA 2002; am § 2 ch 3 SLA 2002; Alaska Stat. § 15.13.070, 15.13.074","Limited",500,"Per Year",1000,,"Limited",1000,"Per Year",2000,,"Prohibited",,,,,"Prohibited",,,,,"Unlimited",,,,,"Prohibited",,,,,"Limited",500,"Per Year",,,"Yes",
