Identifier,State,Year,Prohibited_Citation,NonresidentCont,OutOfStateCorpCont,OutOfStateCommCont,InNameOfAnother,GamblingCont,GamblingContExplain,RegIndCont,RegIndContExplain,GovtEmpSolicit,ContLegisSession,LegisSessionComments,CandLoan,CandLoanExplain,CorpExpendProhibit,LaborExpendProhib,OtherRestrictionsExplain,ExpForPrimaryCand
"AK1996","AK",1996,"Alaska Stat. § 15.13.070","No","No","No","Yes","No",,"No",,"No","Yes","A legislator may not solicit or accept a contribution for a state legislative campaign during a legislative session, nor accept money from an event held during a legislative session if a substantial purpose of the event is to raise money for the legislator's campaign purposes, or for state legislative political purposes.","No",,"No","No","15.13.072 (f)(h): Group/non-group entities, parties may not accept for than 10% of total contributions from individuals who are out of state residents.","No"
"AK1998","AK",1998,"am § 2 ch 74 SLA 1998; Alaska Stat. § 15.13.070, § 15.13.072","No","Yes","No","Yes","Yes","Only proceeds from raffles and lotteries (and not Bingo or pulltab games) may be used to aid candidates or groups.","No",,"No","Yes","A candidate or an individual who has filed with the commission the document necessary to permit that individual to incur election-related expenses under AS 15.13.100 for election or reelection to the state legislature may not solicit or accept a contribution while the legislature is convened in a regular or special legislative session unless the solicitation or acceptance occurs

	(1)  during the 90 days immediately preceding an election in which the candidate or individual is a candidate; and

	(2)  in a place other than the capital city.","No",,"Yes","Yes","15.13.072 (f)(h): Group/non-group entities, parties may not accept for than 10% of total contributions from individuals who are out of state residents.","No"
"AK2000","AK",2000,"am § 2 ch 74 SLA 1998; Alaska Stat. § 15.13.070, § 15.13.072","No","Yes","No","Yes","Yes","Only proceeds from raffles and lotteries (and not Bingo or pulltab games) may be used to aid candidates or groups.","No",,"No","Yes","A candidate or an individual who has filed with the commission the document necessary to permit that individual to incur election-related expenses under AS 15.13.100 for election or reelection to the state legislature may not solicit or accept a contribution while the legislature is convened in a regular or special legislative session unless the solicitation or acceptance occurs

	(1)  during the 90 days immediately preceding an election in which the candidate or individual is a candidate; and

	(2)  in a place other than the capital city.","No",,"Yes","Yes","15.13.072 (f)(h): Group/non-group entities, parties may not accept for than 10% of total contributions from individuals who are out of state residents.","No"
"AK2002","AK",2002,"am §§ 9 -- 11 ch 1 SLA 2002; am § 2 ch 3 SLA 2002; Alaska Stat. § 15.13.070, § 15.13.072; § 15.13.074","No","Yes","No","Yes","Yes","Only proceeds from raffles and lotteries (and not Bingo or pulltab games) may be used to aid candidates or groups.","No",,"No","Yes","A candidate or an individual who has filed with the commission the document necessary to permit that individual to incur election-related expenses under AS 15.13.100 for election or reelection to the state legislature may not solicit or accept a contribution while the legislature is convened in a regular or special legislative session unless the solicitation or acceptance occurs

	(1)  during the 90 days immediately preceding an election in which the candidate or individual is a candidate; and

	(2)  in a place other than the capital city.","No",,"Yes","Yes","15.13.072 (f)(h): Group/non-group entities, parties may not accept for than 10% of total contributions from individuals who are out of state residents.","No"
"AK2004","AK",2004,"am §§ 9 -- 11 ch 1 SLA 2002; am § 2 ch 3 SLA 2002; Alaska Stat. § 15.13.070, § 15.13.072; § 15.13.074","No","Yes","No","Yes","Yes","Only proceeds from raffles and lotteries (and not Bingo or pulltab games) may be used to aid candidates or groups.","No",,"No","Yes","A candidate or an individual who has filed with the commission the document necessary to permit that individual to incur election-related expenses under AS 15.13.100 for election or reelection to the state legislature may not solicit or accept a contribution while the legislature is convened in a regular or special legislative session unless the solicitation or acceptance occurs

	(1)  during the 90 days immediately preceding an election in which the candidate or individual is a candidate; and

	(2)  in a place other than the capital city.","No",,"Yes","Yes","15.13.072 (f)(h): Group/non-group entities, parties may not accept for than 10% of total contributions from individuals who are out of state residents.","No"
"AK2006","AK",2006,"am §§ 9 -- 11 ch 1 SLA 2002; am § 2 ch 3 SLA 2002; Alaska Stat. § 15.13.070, § 15.13.072; § 15.13.074","No","Yes","No","Yes","Yes","Only proceeds from raffles and lotteries (and not Bingo or pulltab games) may be used to aid candidates or groups.","No",,"No","Yes","A candidate or an individual who has filed with the commission the document necessary to permit that individual to incur election-related expenses under AS 15.13.100 for election or reelection to the state legislature may not solicit or accept a contribution while the legislature is convened in a regular or special legislative session unless the solicitation or acceptance occurs

	(1)  during the 90 days immediately preceding an election in which the candidate or individual is a candidate; and

	(2)  in a place other than the capital city.","No",,"Yes","Yes","15.13.072 (f)(h): Group/non-group entities, parties may not accept for than 10% of total contributions from individuals who are out of state residents.","No"
"AK2008","AK",2008,"am §§ 9 -- 11 ch 1 SLA 2002; am § 2 ch 3 SLA 2002; Alaska Stat. § 15.13.070, § 15.13.072; § 15.13.074","No","Yes","No","Yes","Yes","Only proceeds from raffles and lotteries (and not Bingo or pulltab games) may be used to aid candidates or groups.","No",,"No","Yes","A candidate or an individual who has filed with the commission the document necessary to permit that individual to incur election-related expenses under AS 15.13.100 for election or reelection to the state legislature may not solicit or accept a contribution while the legislature is convened in a regular or special legislative session unless the solicitation or acceptance occurs

	(1)  during the 90 days immediately preceding an election in which the candidate or individual is a candidate; and

	(2)  in a place other than the capital city.","No",,"Yes","Yes","15.13.072 (f)(h): Group/non-group entities, parties may not accept for than 10% of total contributions from individuals who are out of state residents.","No"
"AK2010","AK",2010,"am §§ 9 -- 11 ch 1 SLA 2002; am § 2 ch 3 SLA 2002; Alaska Stat. § 15.13.070, § 15.13.072; § 15.13.074","No","Yes","No","Yes","Yes","Only proceeds from raffles and lotteries (and not Bingo or pulltab games) may be used to aid candidates or groups.","No",,"No","Yes","A candidate or an individual who has filed with the commission the document necessary to permit that individual to incur election-related expenses under AS 15.13.100 for election or reelection to the state legislature may not solicit or accept a contribution while the legislature is convened in a regular or special legislative session unless the solicitation or acceptance occurs

	(1)  during the 90 days immediately preceding an election in which the candidate or individual is a candidate; and

	(2)  in a place other than the capital city.","No",,"No","No","15.13.072 (f)(h): Group/non-group entities, parties may not accept for than 10% of total contributions from individuals who are out of state residents.","No"
"AK2012","AK",2012,"am §§ 9 -- 11 ch 1 SLA 2002; am § 2 ch 3 SLA 2002; Alaska Stat. § 15.13.070, § 15.13.072; § 15.13.074","No","Yes","No","Yes","Yes","Only proceeds from raffles and lotteries (and not Bingo or pulltab games) may be used to aid candidates or groups.","No",,"No","Yes","A candidate or an individual who has filed with the commission the document necessary to permit that individual to incur election-related expenses under AS 15.13.100 for election or reelection to the state legislature may not solicit or accept a contribution while the legislature is convened in a regular or special legislative session unless the solicitation or acceptance occurs

	(1)  during the 90 days immediately preceding an election in which the candidate or individual is a candidate; and

	(2)  in a place other than the capital city.","No",,"No","No","15.13.072 (f)(h): Group/non-group entities, parties may not accept for than 10% of total contributions from individuals who are out of state residents.","No"
"AK2014","AK",2014,"am §§ 9 -- 11 ch 1 SLA 2002; am § 2 ch 3 SLA 2002; Alaska Stat. § 15.13.070, § 15.13.072; § 15.13.074","No","Yes","No","Yes","Yes","Only proceeds from raffles and lotteries (and not Bingo or pulltab games) may be used to aid candidates or groups.","No",,"No","Yes","A candidate or an individual who has filed with the commission the document necessary to permit that individual to incur election-related expenses under AS 15.13.100 for election or reelection to the state legislature may not solicit or accept a contribution while the legislature is convened in a regular or special legislative session unless the solicitation or acceptance occurs

	(1)  during the 90 days immediately preceding an election in which the candidate or individual is a candidate; and

	(2)  in a place other than the capital city.","No",,"No","No","15.13.072 (f)(h): Group/non-group entities, parties may not accept for than 10% of total contributions from individuals who are out of state residents.","No"
"AK2016","AK",2016,"am §§ 9 -- 11 ch 1 SLA 2002; am § 2 ch 3 SLA 2002; Alaska Stat. § 15.13.070, § 15.13.072; § 15.13.074","No","Yes","No","Yes","Yes","Only proceeds from raffles and lotteries (and not Bingo or pulltab games) may be used to aid candidates or groups.","No",,"No","Yes","A candidate or an individual who has filed with the commission the document necessary to permit that individual to incur election-related expenses under AS 15.13.100 for election or reelection to the state legislature may not solicit or accept a contribution while the legislature is convened in a regular or special legislative session unless the solicitation or acceptance occurs

	(1)  during the 90 days immediately preceding an election in which the candidate or individual is a candidate; and

	(2)  in a place other than the capital city.","No",,"No","No","15.13.072 (f)(h): Group/non-group entities, parties may not accept for than 10% of total contributions from individuals who are out of state residents.","No"
