Identifier,State,Year,Disclosure_Citation,CandFileReceipts,CandFileExpend,CandFileExemption,CandFileExemption_Amount,CandDonorExemption,CandDonorExplain,CandDonorAddress,CandDonorOccupation,CandDonorEmployer,CandExpendWho,CandExpendAddress,CandExpendPurpose,Cand_PreElection_Regular,CandFile_Electronic,CandFile_Electronic_Exemption,CandFile_Electronic_Exemption_Amount,CandFile_BundlerEarmarked,CandFile_BundlerEarmarked_Explained,Cand_SpecialReport,Cand_SpecialReport_Explained,PartyFileReceipts,PartyFileExpend,PartyFileExemption,PartyFileExemption_Amount,PartyDonorExemption,PartyDonorExplain,PartyDonorAddress,PartyDonorOccupation,PartyDonorEmployer,PartyExpendWho,PartyExpendAddress,PartyExpendPurpose,Party_PreElection_Regular,PartyFile_Electronic,PartyFile_Electronic_Exemption,PartyFile_Electronic_Exemption_Amount,PartyFile_BundlerEarmarked,PartyFile_BundlerEarmarked_Explained,PACFileReceipts,PACFileExpend,PACFileExemption,PACFileExemption_Amount,PACDonorExemption,PACDonorExplain,PACDonorAddress,PACDonorOccupation,PACDonorEmployer,PACExpendWho,PACExpendAddress,PACExpendPurpose,PAC_PreElection_Regular,PAC_PreElection_Available,PACFile_Electronic,PACFile_Electronic_Exemption,PACFile_Electronic_Exemption_Amount,PACFile_BundlerEarmarked,PACFile_BundlerEarmarked_Explained,BallotPropFile_Receipts,BallotPropFile_Expend,BallotProp_PolComm,BallotPropFileExemption,BallotPropFileExemption_Amount,BallotDonorExemption,BallotDonorExplain,BallotDonorAddress,BallotDonorOccupation,BallotDonorEmployer,BallotExpendWho,BallotExpendAddress,BallotExpendPurpose,Ballot_PreElection_Regular,Ballot_PreElection_Available,BallotFile_Electronic,BallotFile_Electronic_Exemption,BallotFile_Electronic_Exemption_A,BallotFile_BundlerEarmarked,BallotFile_BundlerEarmarked_Explained
"RI2000","RI",2000,"R.I. Gen. Laws § 17-25-11.(a),(d)(1),(d)(2), 17-25-7.6 (starting 2002)","Yes","Yes","Yes","101","101","Threshold for expenditures is $1,000, but $100 for receipts from a single source.  See:  17-25-11(d)","Yes","No","Yes","Yes","Yes","Yes","7","No","No",,"No",,"No",,"Yes","Yes","Yes","1001","101",,"Yes","No","Yes","Yes","Yes","Yes","7","No","No",,"No",,"Yes","Yes","Yes","1001","101",,"Yes","No","Yes","Yes","Yes","Yes","7",,"No","No",,"No",,"Yes","Yes","Yes","Yes","1001","101",,"Yes","No","Yes","Yes","Yes","Yes","7",,"No","No",,"No",
"RI2012","RI",2012,"R.I. Gen. Laws § 17-25-11.(a),(d)(1),(d)(2), 17-25-7.6 (starting 2002)","Yes","Yes","Yes","101","101","Threshold for expenditures is $1,000, but $100 for receipts from a single source.  See:  17-25-11(d)","Yes","No","Yes","Yes","Yes","Yes","7","Yes","Yes","5001","No",,"No",,"Yes","Yes","Yes","1001","101",,"Yes","No","Yes","Yes","Yes","Yes","7","Yes","No",,"No",,"Yes","Yes","Yes","1001","101",,"Yes","No","Yes","Yes","Yes","Yes","7",,"Yes","No",,"No",,"Yes","Yes","Yes","Yes","1001","101",,"Yes","No","Yes","Yes","Yes","Yes","7",,"Yes","No",,"No",
"CA1996","CA",1996,"CGC §§ 84200, 84200.5, 84200.7, 84203, 84203.3, 84203.5, 84204, 84206, 84211, 84305, 82036; Stats. 1994 ch. 1129 § 1; Stats 1994 ch. 923 § 105; Stats. 1993 ch. 391 § 1; Stats. 1993 ch. 1140 § 1; Stats. 1980 ch. 289 § 5; Stats. 1992 ch. 89 § 2; Stats. 1993 ch. 769 § 3; Stats. 1992 ch. 89 § 3; Stats. 1985 ch. 1456 § 16; Stats. 1989 ch. 764 § 1; Stats. 1995 ch. 77","Yes","Yes","Yes","1000","100","While candidates must disclose this information, there is no prohibition on depositing a contribution if the donor does not supply all of the information.","Yes","Yes","Yes","Yes","Yes","Yes","12","No","No",,"No",,"No",,"Yes","Yes","Yes","1000","100",,"Yes","Yes","Yes","Yes","Yes","Yes","12","No","No",,"No",,"Yes","Yes","Yes","1000","100",,"Yes","Yes","Yes","Yes","Yes","Yes","12","NA","No","No",,"No",,"Yes","Yes","Yes","Yes","1000","100",,"Yes","Yes","Yes","Yes","Yes","Yes","12",,"No","No",,"No",
"CA1998","CA",1998,"CGC §§ 84200, 84200.5, 84200.7, 84203, 84203.3, 84203.5, 84204, 84206, 84211, 84305, 82036; Stats. 1994 ch. 1129 § 1; Stats 1994 ch. 923 § 105; Stats. 1993 ch. 391 § 1; Stats. 1993 ch. 1140 § 1; Stats. 1980 ch. 289 § 5; Stats. 1992 ch. 89 § 2; Stats. 1993 ch. 769 § 3; Stats. 1992 ch. 89 § 3; Stats. 1985 ch. 1456 § 16; Stats. 1989 ch. 764 § 1; Stats. 1995 ch. 77","Yes","Yes","Yes","1000","100","While candidates must disclose this information, there is no prohibition on depositing a contribution if the donor does not supply all of the information.","Yes","Yes","Yes","Yes","Yes","Yes","12","No","No",,"No",,"No",,"Yes","Yes","Yes","1000","100",,"Yes","Yes","Yes","Yes","Yes","Yes","12","No","No",,"No",,"Yes","Yes","Yes","1000","100",,"Yes","Yes","Yes","Yes","Yes","Yes","12",,"No","No",,"No",,"Yes","Yes","Yes","Yes","1000","100",,"Yes","Yes","Yes","Yes","Yes","Yes","12",,"No","No",,"No",
"CA2000","CA",2000,"CGC §§ 84200, 84200.5, 84200.7, 84203, 84203.3, 84203.5, 84204, 84206, 84211, 84305, 82036, 84605; Stats. 1994 ch. 1129 § 1; Stats 1994 ch. 923 § 105; Stats. 1993 ch. 391 § 1; Stats. 1993 ch. 1140 § 1; Stats. 1980 ch. 289 § 5; Stats. 1992 ch. 89 § 2; Stats. 1993 ch. 769 § 3; Stats. 1992 ch. 89 § 3; Stats. 1985 ch. 1456 § 16; Stats. 1989 ch. 764 § 1; Stats. 1995 ch. 77; Stats. 1999 ch. 433 § 5","Yes","Yes","Yes","1000","100","While candidates must disclose this information, there is no prohibition on depositing a contribution if the donor does not supply all of the information.","Yes","Yes","Yes","Yes","Yes","Yes","12","Yes","Yes","50000","No",,"No",,"Yes","Yes","Yes","1000","100",,"Yes","Yes","Yes","Yes","Yes","Yes","12","Yes","Yes","50000","No",,"Yes","Yes","Yes","1000","100",,"Yes","Yes","Yes","Yes","Yes","Yes","12",,"Yes","Yes","50000","No",,"Yes","Yes","Yes","Yes","1000","100",,"Yes","Yes","Yes","Yes","Yes","Yes","12",,"Yes","Yes","50000","No",
"CA2002","CA",2002,"CGC §§ 84200, 84200.5, 84200.7, 84203, 84203.3, 84203.5, 84204, 84206, 84211, 84305, 82036, 85700, 85500, 84503, 84506, 84605, 85309; Stats. 1994 ch. 1129 § 1; Stats 1994 ch. 923 § 105; Stats. 1993 ch. 391 § 1; Stats. 1993 ch. 1140 § 1; Stats. 1980 ch. 289 § 5; Stats. 1992 ch. 89 § 2; Stats. 1993 ch. 769 § 3; Stats. 1992 ch. 89 § 3; Stats. 1985 ch. 1456 § 16; Stats. 1989 ch. 764 § 1; Stats. 1995 ch. 77; Stats. 1999 ch. 433 § 5; Prop. 34 (2000)","Yes","Yes","Yes","1000","100",,"Yes","Yes","Yes","Yes","Yes","Yes","12","Yes","Yes","50000","No",,"Yes","All contributions of $1,000 or more made within 90 days of the election must be reported within 24-hours to the Secretary of State","Yes","Yes","Yes","1000","100",,"Yes","Yes","Yes","Yes","Yes","Yes","12","Yes","Yes","50000","No",,"Yes","Yes","Yes","1000","100",,"Yes","Yes","Yes","Yes","Yes","Yes","12",,"Yes","Yes","50000","No",,"Yes","Yes","Yes","Yes","1000","100",,"Yes","Yes","Yes","Yes","Yes","Yes","12",,"Yes","Yes","50000","No",
"CA2004","CA",2004,"CGC §§ 84200, 84200.5, 84200.7, 84203, 84203.3, 84203.5, 84204, 84206, 84211, 84305, 82036, 85700, 85500, 84503, 84506, 84605, 85309; Stats. 1994 ch. 1129 § 1; Stats 1994 ch. 923 § 105; Stats. 1993 ch. 391 § 1; Stats. 1993 ch. 1140 § 1; Stats. 1980 ch. 289 § 5; Stats. 1992 ch. 89 § 2; Stats. 1993 ch. 769 § 3; Stats. 1992 ch. 89 § 3; Stats. 1985 ch. 1456 § 16; Stats. 1989 ch. 764 § 1; Stats. 1995 ch. 77; Stats. 1999 ch. 433 § 5; Prop. 34 (2000)","Yes","Yes","Yes","1000","100",,"Yes","Yes","Yes","Yes","Yes","Yes","12","Yes","Yes","50000","No",,"Yes","All contributions of $1,000 or more made within 90 days of the election must be reported within 24-hours to the Secretary of State","Yes","Yes","Yes","1000","100",,"Yes","Yes","Yes","Yes","Yes","Yes","12","Yes","Yes","50000","No",,"Yes","Yes","Yes","1000","100",,"Yes","Yes","Yes","Yes","Yes","Yes","12",,"Yes","Yes","50000","No",,"Yes","Yes","Yes","Yes","1000","100",,"Yes","Yes","Yes","Yes","Yes","Yes","12",,"Yes","Yes","50000","No",
"CA2006","CA",2006,"CGC §§ 84200, 84200.5, 84200.7, 84203, 84203.3, 84203.5, 84204, 84206, 84211, 84305, 82036, 85700, 85500, 84503, 84506, 84605, 85309; Stats. 1994 ch. 1129 § 1; Stats 1994 ch. 923 § 105; Stats. 1993 ch. 391 § 1; Stats. 1993 ch. 1140 § 1; Stats. 1980 ch. 289 § 5; Stats. 1992 ch. 89 § 2; Stats. 1993 ch. 769 § 3; Stats. 1992 ch. 89 § 3; Stats. 1985 ch. 1456 § 16; Stats. 1989 ch. 764 § 1; Stats. 1995 ch. 77; Stats. 1999 ch. 433 § 5; Prop. 34 (2000)","Yes","Yes","Yes","1000","100",,"Yes","Yes","Yes","Yes","Yes","Yes","12","Yes","Yes","50000","No",,"Yes","All contributions of $1,000 or more made within 90 days of the election must be reported within 24-hours to the Secretary of State","Yes","Yes","Yes","1000","100",,"Yes","Yes","Yes","Yes","Yes","Yes","12","Yes","Yes","50000","No",,"Yes","Yes","Yes","1000","100",,"Yes","Yes","Yes","Yes","Yes","Yes","12",,"Yes","Yes","50000","No",,"Yes","Yes","Yes","Yes","1000","100",,"Yes","Yes","Yes","Yes","Yes","Yes","12",,"Yes","Yes","50000","No",
"GA2010","GA",2010,"Ga. Code Ann. § 21-5-34; Ga. Code Ann. § 21-5-34.1.","Yes","Yes","Yes","500","101",,"Yes","Yes","Yes","Yes","Yes","Yes","15","Yes","No",,"No",,"No",,"Yes","Yes","Yes","500","101",,"Yes","Yes","Yes","Yes","Yes","Yes","15","Yes","No",,"No",,"Yes","Yes","Yes","500","101",,"Yes","Yes","Yes","Yes","Yes","Yes","Oct. 25th","N/A","Yes","Yes","5000","No",,"Yes","Yes","Yes","Yes","101","500",,"Yes","Yes","Yes","Yes","Yes","Yes","Oct. 25th",,"Yes","Yes","5000","No",
"GA2012","GA",2012,"Ga. Code Ann. § 21-5-34; Ga. Code Ann. § 21-5-34.1.","Yes","Yes","Yes","500","101",,"Yes","Yes","Yes","Yes","Yes","Yes","15","Yes","No",,"No",,"No",,"Yes","Yes","Yes","500","101",,"Yes","Yes","Yes","Yes","Yes","Yes","15","Yes","No",,"No",,"Yes","Yes","Yes","500","101",,"Yes","Yes","Yes","Yes","Yes","Yes","Oct. 25th","N/A","Yes","No",,"No",,"Yes","Yes","Yes","Yes","101","500",,"Yes","Yes","Yes","Yes","Yes","Yes","Oct. 25th",,"Yes","Yes","5000","No",
