Identifier,State,Year,Incident-Specific Disclosure,Incident-Specific Disclosure_Citation,Incident-Specific Disclosure_Explain,Online,Online_Law,Online_Speed_Reqd,Online_Speed_HowFast,Online_Searchable,Online_Searchable_Law,Online_Downloadable,Online_Downloadable_Law,SponsorID,SponsorID_explained,SpecialSponsorID,SpecialSponsorID_Explained,Advertising,AdvertisingExplain,DiscloseToShareholders,DiscloseToSharegolders_Citation,DiscloseToShareholders_Explained
"AK1996","AK",1996,,,,"No",,,,,,,,"Yes","All advertisements, billboards, handbills, paid-for television and radio announcements and other communications intended to influence the election of a candidate or outcome of a ballot proposition or question shall be clearly identified by the words ""paid for by"" followed by the name and address of the candidate, group or individual paying for the advertising. In addition, candidates and groups must identify the name of their campaign chairman.","No",,"No",,"No",,
"AK1998","AK",1998,,,,"No",,,,,,,,"Yes","All advertisements, billboards, handbills, paid-for television and radio announcements and other communications intended to influence the election of a candidate or outcome of a ballot proposition or question shall be clearly identified by the words ""paid for by"" followed by the name and address of the candidate, group or individual paying for the advertising. In addition, candidates and groups must identify the name of their campaign chairman.","No",,"No",,"No",,
"AK2000","AK",2000,,,,"No",,,,,,,,"Yes","All advertisements, billboards, handbills, paid-for television and radio announcements and other communications intended to influence the election of a candidate or outcome of a ballot proposition or question shall be clearly identified by the words ""paid for by"" followed by the name and address of the candidate, group or individual paying for the advertising. In addition, candidates and groups must identify the name of their campaign chairman.","No",,"No",,"No",,
"AK2002","AK",2002,,,,"No",,,,,,,,"Yes","All advertisements, billboards, handbills, paid-for television and radio announcements and other communications intended to influence the election of a candidate or outcome of a ballot proposition or question shall be clearly identified by the words ""paid for by"" followed by the name and address of the candidate, group or individual paying for the advertising. In addition, candidates and groups must identify the name of their campaign chairman.","No",,"No",,"No",,
"AK2004","AK",2004,,,,"No",,,,,,,,"Yes","All advertisements, billboards, handbills, paid-for television and radio announcements and other communications intended to influence the election of a candidate or outcome of a ballot proposition or question shall be clearly identified by the words ""paid for by"" followed by the name and address of the candidate, group or individual paying for the advertising. In addition, candidates and groups must identify the name of their campaign chairman.","No",,"No",,"No",,
"AK2006","AK",2006,,,,"No",,,,,,,,"Yes","All advertisements, billboards, handbills, paid-for television and radio announcements and other communications intended to influence the election of a candidate or outcome of a ballot proposition or question shall be clearly identified by the words ""paid for by"" followed by the name and address of the candidate, group or individual paying for the advertising. In addition, candidates and groups must identify the name of their campaign chairman.","No",,"No",,"No",,
"AK2008","AK",2008,,,,"No",,,,,,,,"Yes","All advertisements, billboards, handbills, paid-for television and radio announcements and other communications intended to influence the election of a candidate or outcome of a ballot proposition or question shall be clearly identified by the words ""paid for by"" followed by the name and address of the candidate, group or individual paying for the advertising. In addition, candidates and groups must identify the name of their campaign chairman.","No",,"No",,"No",,
"AK2010","AK",2010,,,,"No",,,,,,,,"Yes","All advertisements, billboards, handbills, paid-for television and radio announcements and other communications intended to influence the election of a candidate or outcome of a ballot proposition or question shall be clearly identified by the words ""paid for by"" followed by the name and address of the candidate, group or individual paying for the advertising. In addition, candidates and groups must identify the name of their campaign chairman.

All communications shall be clearly identified by the words ""paid for by"" followed by the name and address of the person paying for the communication. In addition, except as provided by (d) of this section, a person shall clearly

o (1)  provide the person's address or the person's principal place of business;

o (2)  for a person other than an individual or candidate, include

(A)  the name and title of the person's principal officer;
(B)  a statement from the principal officer approving the communication; and
(C)  identification of the name and city and state of residence or principal place of business, as  applicable, of each of the person's three largest contributors under AS 15.13.040(e)(5), if any, during the 12-month period before the date of the communication.","No",,"No",,"No",,
"AK2012","AK",2012,,,,"No",,,,,,,,"Yes","All advertisements, billboards, handbills, paid-for television and radio announcements and other communications intended to influence the election of a candidate or outcome of a ballot proposition or question shall be clearly identified by the words ""paid for by"" followed by the name and address of the candidate, group or individual paying for the advertising. In addition, candidates and groups must identify the name of their campaign chairman.

All communications shall be clearly identified by the words ""paid for by"" followed by the name and address of the person paying for the communication. In addition, except as provided by (d) of this section, a person shall clearly

o (1)  provide the person's address or the person's principal place of business;

o (2)  for a person other than an individual or candidate, include

(A)  the name and title of the person's principal officer;
(B)  a statement from the principal officer approving the communication; and
(C)  identification of the name and city and state of residence or principal place of business, as  applicable, of each of the person's three largest contributors under AS 15.13.040(e)(5), if any, during the 12-month period before the date of the communication.","No",,"No",,"No",,
"AK2014","AK",2014,,,,"No",,,,,,,,"Yes","All advertisements, billboards, handbills, paid-for television and radio announcements and other communications intended to influence the election of a candidate or outcome of a ballot proposition or question shall be clearly identified by the words ""paid for by"" followed by the name and address of the candidate, group or individual paying for the advertising. In addition, candidates and groups must identify the name of their campaign chairman.

All communications shall be clearly identified by the words ""paid for by"" followed by the name and address of the person paying for the communication. In addition, except as provided by (d) of this section, a person shall clearly

o (1)  provide the person's address or the person's principal place of business;

o (2)  for a person other than an individual or candidate, include

(A)  the name and title of the person's principal officer;
(B)  a statement from the principal officer approving the communication; and
(C)  identification of the name and city and state of residence or principal place of business, as  applicable, of each of the person's three largest contributors under AS 15.13.040(e)(5), if any, during the 12-month period before the date of the communication.

The inclusion of the three largest contributors  is not required if the person paying for the communication has no contributors or is a political party.",,,,,,,
