Identifier,State,Year,PublicFunding_Citation,PublicFunding_H,PublicFunding_H_type,PublicFunding_H_explain,Public Funding_H_Qualifying,PublicFunding_H_SpendLimit,PublicFunding_H_SpendLimit_Amount,PublicFunding_H_OtherConditions,PublicFunding_H_OtherConditions_Explained,PublicFunding_H_Trigger,PublicFunding_H_TriggerExplained,PublicFunding_H_Max,PublicFunding_H_Solicitation-by-Cand_Party,PublicFunding_H_Solicitation-by-Cand_Non-Party,PublicFunding_S,PublicFunding_S_type,PublicFunding_S_explain,Public Funding_S_Qualifying,PublicFunding_S_SpendLimit,PublicFunding_S_SpendLimit_Amount,PublicFunding_S_OtherConditions,PublicFunding_S_OtherConditions_Explained,PublicFunding_S_Trigger,PublicFunding_S_TriggerExplained,PublicFunding_S_Max,PublicFunding_S_Solicitation-by-Cand_Party,PublicFunding_S_Solicitation-by-Cand_Non-Party,PublicFunding_G,PublicFunding_G_type,PublicFunding_G_explain,Public Funding_G_Qualifying,PublicFunding_G_SpendLimit,PublicFunding_G_SpendLimit_Amount,PublicFunding_G_OtherConditions,PublicFunding_G_OtherConditions_Explained,PublicFunding_G_Trigger,PublicFunding_G_TriggerExplained,PublicFunding_G_Max,PublicFunding_G_Solicitation-by-Cand_Party,PublicFunding_G_Solicitation-by-Cand_Non-Party,PublicFunding_P,PublicFunding_P_Eligibility,PublicFunding_P_Formula,PublicFunding_P_TwoYrMax,SurchargePF,TaxCheckoffPF,DonatedPF,FilingRegFeesPF,FinesPF,GrantPF,UnexpendedPF,OtherPF,OtherPFExplain,SourcesofFunds,SpendingLimits_Other,SpendingLimits_Other_Explained
"AZ1996","AZ",1996,"ARS §§ 16-807, 16-917, 43-612","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","Parties are eligible if they are qualified for representation on the state primary and general election ballot. A new party achieves this status through a petitioning process with a signature requirement of 1.33% of the total votes in the Gov. election","Taxpayers select which party they would like their funds distributed to","Not specified",,,,,,,,,,"Tax forms include a checkoff giving taxpayers the opportunity to indicate a party they would like to contribute $2, $5, or $10 of their tax refund to. Since these funds are deducted from their refund, it does result in taxpayers receiving less money in their refund.",,
"AZ1998","AZ",1998,"ARS §§ 16-807, 16-917, 43-612","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","Parties are eligible if they are qualified for representation on the state primary and general election ballot. A new party achieves this status through a petitioning process with a signature requirement of 1.33% of the total votes in the Gov. election","Taxpayers select which party they would like their funds distributed to","Not specified",,"AZ",,,,,,,,"Tax forms include a checkoff giving taxpayers the opportunity to indicate a party they would like to contribute $2, $5, or $10 of their tax refund to. Since these funds are deducted from their refund, it does result in taxpayers receiving less money in their refund.",,
"AZ2000","AZ",2000,"ARS §§ 16-807,  43-612, Chapter 6, Article 2 (940-961)","Yes","Full Public Financing","Donors must be registered in the electoral district of the office the candidate is seeking","Must receive 200 qualifying contributions of $5 each from qualified electors","Yes","25,000","Yes","Participating candidates are required to attend debates","Yes","When a nonparticipating candidate spends above the spending limit for participating candidates, the participating candidates are granted funds and an increase in the maximum expenditures in an amount equal to the amount that the nonparticipating candidate has spent above the previous limits. There does not appear to be a statutory limit to the amount that can be granted in overages.",,"Yes","Yes","Yes","Full Public Financing","Donors must be registered in the electoral district of the office the candidate is seeking","Must receive 200 qualifying contributions of $5 each from qualified electors","Yes","25,000","Yes","Participating candidates are required to attend debates","Yes","When a nonparticipating candidate spends above the spending limit for participating candidates, the participating candidates are granted funds and an increase in the maximum expenditures in an amount equal to the amount that the nonparticipating candidate has spent above the previous limits. There does not appear to be a statutory limit to the amount that can be granted in overages.",,"Yes","Yes","Yes","Full Public Financing","Donors must be registered electors in Arizona","Must receive 4000 qualifying contributions of $5 each from qualified electors","Yes","950,000","Yes","Participating candidates are required to attend debates","Yes","When a nonparticipating candidate spends above the spending limit for participating candidates, the participating candidates are granted funds and an increase in the maximum expenditures in an amount equal to the amount that the nonparticipating candidate has spent above the previous limits. There does not appear to be a statutory limit to the amount that can be granted in overages.",,"Yes","Yes","Yes","Parties are eligible if they are qualified for representation on the state primary and general election ballot. A new party achieves this status through a petitioning process with a signature requirement of 1.33% of the total votes in the Gov. election","Taxpayers select which party they would like their funds distributed to","Not specified",,"AZ",,,,,,,,"For Candidates: 1) A $100 annual fee imposed on lobbyists, 2) A 10% surcharge on civil penalties and criminal court fines, 3) The $5 qualifying contributions that participating candidates must provide to the fund, 4) A $5 tax checkoff (A taxpayer who checks the box receives a five-dollar reduction in the amount of tax, and five dollars from the amount of taxes paid shall be transferred by the department of revenue to the fund), and 5) A dollar-for-dollar tax credit not to exceed twenty percent of the tax amount on the return or five hundred dollars per taxpayer (individual or business entity), whichever is higher.

For Political Parties: Tax forms include a checkoff giving taxpayers the opportunity to indicate a party they would like to contribute $2, $5, or $10 of their tax refund to. Since these funds are deducted from their refund, it does result in taxpayers receiving less money in their refund.",,
"AZ2002","AZ",2002,"ARS §§ 16-807,  43-612, Chapter 6, Article 2 (940-961)","Yes","Full Public Financing","Donors must be registered in the electoral district of the office the candidate is seeking","Must receive 200 qualifying contributions of $5 each from qualified electors","Yes","26,970","Yes","Participating candidates are required to attend debates","Yes","When a nonparticipating candidate spends above the spending limit for participating candidates, the participating candidates are granted funds and an increase in the maximum expenditures in an amount equal to the amount that the nonparticipating candidate has spent above the previous limits. There does not appear to be a statutory limit to the amount that can be granted in overages.",,"Yes","Yes","Yes","Full Public Financing","Donors must be registered in the electoral district of the office the candidate is seeking","Must receive 200 qualifying contributions of $5 each from qualified electors","Yes","26,970","Yes","Participating candidates are required to attend debates","Yes","When a nonparticipating candidate spends above the spending limit for participating candidates, the participating candidates are granted funds and an increase in the maximum expenditures in an amount equal to the amount that the nonparticipating candidate has spent above the previous limits. There does not appear to be a statutory limit to the amount that can be granted in overages.",,"Yes","Yes","Yes","Full Public Financing","Donors must be registered electors in Arizona","Must receive 4000 qualifying contributions of $5 each from qualified electors","Yes","1,024,880","Yes","Participating candidates are required to attend debates","Yes","When a nonparticipating candidate spends above the spending limit for participating candidates, the participating candidates are granted funds and an increase in the maximum expenditures in an amount equal to the amount that the nonparticipating candidate has spent above the previous limits. There does not appear to be a statutory limit to the amount that can be granted in overages.",,"Yes","Yes","Yes","Parties are eligible if they are qualified for representation on the state primary and general election ballot. A new party achieves this status through a petitioning process with a signature requirement of 1.33% of the total votes in the Gov. election","Taxpayers select which party they would like their funds distributed to","Not specified",,"AZ",,,,,,,,"For Candidates: 1) A $100 annual fee imposed on lobbyists, 2) A 10% surcharge on civil penalties and criminal court fines, 3) The $5 qualifying contributions that participating candidates must provide to the fund, 4) A $5 tax checkoff (A taxpayer who checks the box receives a five-dollar reduction in the amount of tax, and five dollars from the amount of taxes paid shall be transferred by the department of revenue to the fund), and 5) A dollar-for-dollar tax credit not to exceed twenty percent of the tax amount on the return or five hundred dollars per taxpayer (individual or business entity), whichever is higher.

For Political Parties: Tax forms include a checkoff giving taxpayers the opportunity to indicate a party they would like to contribute $2, $5, or $10 of their tax refund to. Since these funds are deducted from their refund, it does result in taxpayers receiving less money in their refund.",,
"AZ2004","AZ",2004,"ARS §§ 16-807,  43-612, Chapter 6, Article 2 (940-961)","Yes","Full Public Financing","Donors must be registered in the electoral district of the office the candidate is seeking","Must receive 200 qualifying contributions of $5 each from qualified electors","Yes","28300","Yes","Participating candidates are required to attend debates","Yes","When a nonparticipating candidate spends above the spending limit for participating candidates, the participating candidates are granted funds and an increase in the maximum expenditures in an amount equal to the amount that the nonparticipating candidate has spent above the previous limits. There does not appear to be a statutory limit to the amount that can be granted in overages.",,"Yes","Yes","Yes","Full Public Financing","Donors must be registered in the electoral district of the office the candidate is seeking","Must receive 200 qualifying contributions of $5 each from qualified electors","Yes","28300","Yes","Participating candidates are required to attend debates","Yes","When a nonparticipating candidate spends above the spending limit for participating candidates, the participating candidates are granted funds and an increase in the maximum expenditures in an amount equal to the amount that the nonparticipating candidate has spent above the previous limits. There does not appear to be a statutory limit to the amount that can be granted in overages.",,"Yes","Yes","Yes","Full Public Financing","Donors must be registered electors in Arizona","Must receive 4000 qualifying contributions of $5 each from qualified electors","Yes","1,075,373","Yes","Participating candidates are required to attend debates","Yes","When a nonparticipating candidate spends above the spending limit for participating candidates, the participating candidates are granted funds and an increase in the maximum expenditures in an amount equal to the amount that the nonparticipating candidate has spent above the previous limits. There does not appear to be a statutory limit to the amount that can be granted in overages.",,"Yes","Yes","Yes","Parties are eligible if they are qualified for representation on the state primary and general election ballot. A new party achieves this status through a petitioning process with a signature requirement of 1.33% of the total votes in the Gov. election","Taxpayers select which party they would like their funds distributed to","Not specified",,"AZ",,,,,,,,"For Candidates: 1) A $100 annual fee imposed on lobbyists, 2) A 10% surcharge on civil penalties and criminal court fines, 3) The $5 qualifying contributions that participating candidates must provide to the fund, 4) A $5 tax checkoff (A taxpayer who checks the box receives a five-dollar reduction in the amount of tax, and five dollars from the amount of taxes paid shall be transferred by the department of revenue to the fund), and 5) A dollar-for-dollar tax credit not to exceed twenty percent of the tax amount on the return or five hundred dollars per taxpayer (individual or business entity), whichever is higher.

For Political Parties: Tax forms include a checkoff giving taxpayers the opportunity to indicate a party they would like to contribute $2, $5, or $10 of their tax refund to. Since these funds are deducted from their refund, it does result in taxpayers receiving less money in their refund.",,
"AZ2006","AZ",2006,"ARS §§ 16-807,  43-612, Chapter 6, Article 2 (940-961)","Yes","Full Public Financing","Donors must be registered in the electoral district of the office the candidate is seeking","Must receive 200 qualifying contributions of $5 each from qualified electors","Yes","29863","Yes","Participating candidates are required to attend debates","Yes","When a nonparticipating candidate spends above the spending limit for participating candidates, the participating candidates are granted funds and an increase in the maximum expenditures in an amount equal to the amount that the nonparticipating candidate has spent above the previous limits. There does not appear to be a statutory limit to the amount that can be granted in overages.",,"Yes","Yes","Yes","Full Public Financing","Donors must be registered in the electoral district of the office the candidate is seeking","Must receive 200 qualifying contributions of $5 each from qualified electors","Yes","29863","Yes","Participating candidates are required to attend debates","Yes","When a nonparticipating candidate spends above the spending limit for participating candidates, the participating candidates are granted funds and an increase in the maximum expenditures in an amount equal to the amount that the nonparticipating candidate has spent above the previous limits. There does not appear to be a statutory limit to the amount that can be granted in overages.",,"Yes","Yes","Yes","Full Public Financing","Donors must be registered electors in Arizona","Must receive 4000 qualifying contributions of $5 each from qualified electors","Yes","1,134,623","Yes","Participating candidates are required to attend debates","Yes","When a nonparticipating candidate spends above the spending limit for participating candidates, the participating candidates are granted funds and an increase in the maximum expenditures in an amount equal to the amount that the nonparticipating candidate has spent above the previous limits. There does not appear to be a statutory limit to the amount that can be granted in overages.",,"Yes","Yes","Yes","Parties are eligible if they are qualified for representation on the state primary and general election ballot. A new party achieves this status through a petitioning process with a signature requirement of 1.33% of the total votes in the Gov. election","Taxpayers select which party they would like their funds distributed to","Not specified",,"AZ",,,,,,,,"For Candidates: 1) A $100 annual fee imposed on lobbyists, 2) A 10% surcharge on civil penalties and criminal court fines, 3) The $5 qualifying contributions that participating candidates must provide to the fund, 4) A $5 tax checkoff (A taxpayer who checks the box receives a five-dollar reduction in the amount of tax, and five dollars from the amount of taxes paid shall be transferred by the department of revenue to the fund), and 5) A dollar-for-dollar tax credit not to exceed twenty percent of the tax amount on the return or five hundred dollars per taxpayer (individual or business entity), whichever is higher.

For Political Parties: Tax forms include a checkoff giving taxpayers the opportunity to indicate a party they would like to contribute $2, $5, or $10 of their tax refund to. Since these funds are deducted from their refund, it does result in taxpayers receiving less money in their refund.",,
"AZ2008","AZ",2008,"ARS §§ 16-807,  43-612, Chapter 6, Article 2 (940-961)","Yes","Full Public Financing","Donors must be registered in the electoral district of the office the candidate is seeking","Must receive 200 qualifying contributions of $5 each from qualified electors","Yes","32303","Yes","Participating candidates are required to attend debates","Yes","When a nonparticipating candidate spends above the spending limit for participating candidates, the participating candidates are granted funds and an increase in the maximum expenditures in an amount equal to the amount that the nonparticipating candidate has spent above the previous limits. There does not appear to be a statutory limit to the amount that can be granted in overages.",,"Yes","Yes","Yes","Full Public Financing","Donors must be registered in the electoral district of the office the candidate is seeking","Must receive 200 qualifying contributions of $5 each from qualified electors","Yes","32303","Yes","Participating candidates are required to attend debates","Yes","When a nonparticipating candidate spends above the spending limit for participating candidates, the participating candidates are granted funds and an increase in the maximum expenditures in an amount equal to the amount that the nonparticipating candidate has spent above the previous limits. There does not appear to be a statutory limit to the amount that can be granted in overages.",,"Yes","Yes","Yes","Full Public Financing","Donors must be registered electors in Arizona","Must receive 4000 qualifying contributions of $5 each from qualified electors","Yes","1,595,555","Yes","Participating candidates are required to attend debates","Yes","When a nonparticipating candidate spends above the spending limit for participating candidates, the participating candidates are granted funds and an increase in the maximum expenditures in an amount equal to the amount that the nonparticipating candidate has spent above the previous limits. There does not appear to be a statutory limit to the amount that can be granted in overages.",,"Yes","Yes","Yes","Parties are eligible if they are qualified for representation on the state primary and general election ballot. A new party achieves this status through a petitioning process with a signature requirement of 1.33% of the total votes in the Gov. election","Taxpayers select which party they would like their funds distributed to","Not specified",,"AZ",,,,,,,,"For Candidates: 1) A 10% surcharge on civil penalties and criminal court fines, 2) The $5 qualifying contributions that participating candidates must provide to the fund, 3) A $5 tax checkoff (A taxpayer who checks the box receives a five-dollar reduction in the amount of tax, and five dollars from the amount of taxes paid shall be transferred by the department of revenue to the fund), and 4) A dollar-for-dollar tax credit not to exceed twenty percent of the tax amount on the return or five hundred dollars per taxpayer (individual or business entity), whichever is higher.

For Political Parties: Tax forms include a checkoff giving taxpayers the opportunity to indicate a party they would like to contribute $2, $5, or $10 of their tax refund to. Since these funds are deducted from their refund, it does result in taxpayers receiving less money in their refund.",,
"AZ2010","AZ",2010,"ARS §§ 16-807,  43-612, Chapter 6, Article 2 (940-961)","Yes","Full Public Financing","Donors must be registered in the electoral district of the office the candidate is seeking","Must receive 200 qualifying contributions of $5 each from qualified electors","Yes","35798","Yes","Participating candidates are required to attend debates","Changed mid-cycle","A federal district court in McComish v. Bennett ruled that Arizona's matching funds in its public financing system were unconstitutional. An appeal was pending to the Supreme Court.",,"Yes","Yes","Yes","Full Public Financing","Donors must be registered in the electoral district of the office the candidate is seeking","Must receive 200 qualifying contributions of $5 each from qualified electors","Yes","35798","Yes","Participating candidates are required to attend debates","Changed mid-cycle","A federal district court in McComish v. Bennett ruled that Arizona's matching funds in its public financing system were unconstitutional. An appeal was pending to the Supreme Court.",,"Yes","Yes","Yes","Full Public Financing","Donors must be registered electors in Arizona","Must receive 4000 qualifying contributions of $5 each from qualified electors","Yes","1,768,618","Yes","Participating candidates are required to attend debates","Changed mid-cycle","A federal district court in McComish v. Bennett ruled that Arizona's matching funds in its public financing system were unconstitutional. An appeal was pending to the Supreme Court.",,"Yes","Yes","Yes","Parties are eligible if they are qualified for representation on the state primary and general election ballot. A new party achieves this status through a petitioning process with a signature requirement of 1.33% of the total votes in the Gov. election","Taxpayers select which party they would like their funds distributed to","Not specified",,"AZ",,,,,,,,"For Candidates: 1) A 10% surcharge on civil penalties and criminal court fines, 2) The $5 qualifying contributions that participating candidates must provide to the fund, 3) A $5 tax checkoff (A taxpayer who checks the box receives a five-dollar reduction in the amount of tax, and five dollars from the amount of taxes paid shall be transferred by the department of revenue to the fund), and 4) A dollar-for-dollar tax credit not to exceed twenty percent of the tax amount on the return or five hundred dollars per taxpayer (individual or business entity), whichever is higher.

For Political Parties: Tax forms include a checkoff giving taxpayers the opportunity to indicate a party they would like to contribute $2, $5, or $10 of their tax refund to. Since these funds are deducted from their refund, it does result in taxpayers receiving less money in their refund.",,
"AZ2012","AZ",2012,"ARS §§ 16-807,  43-612, Chapter 6, Article 2 (940-961)","Yes","Full Public Financing","Donors must be registered in the electoral district of the office the candidate is seeking","Must receive 200 qualifying contributions of $5 each from qualified electors","Yes","35888","Yes","Participating candidates are required to attend debates","No","The Supreme Court in McComish v. Bennett ruled that Arizona's matching funds in its public financing system were unconstitutional.",,"Yes","Yes","Yes","Full Public Financing","Donors must be registered in the electoral district of the office the candidate is seeking","Must receive 200 qualifying contributions of $5 each from qualified electors","Yes","35888","Yes","Participating candidates are required to attend debates","No","The Suprmee Court in McComish v. Bennett ruled that Arizona's matching funds in its public financing system were unconstitutional.",,"Yes","Yes","Yes","Full Public Financing","Donors must be registered electors in Arizona","Must receive 4000 qualifying contributions of $5 each from qualified electors","Yes","1,773,123","Yes","Participating candidates are required to attend debates","No","The Supreme Court in McComish v. Bennett ruled that Arizona's matching funds in its public financing system were unconstitutional.",,"Yes","Yes","Yes","Parties are eligible if they are qualified for representation on the state primary and general election ballot. A new party achieves this status through a petitioning process with a signature requirement of 1.33% of the total votes in the Gov. election","Taxpayers select which party they would like their funds distributed to","Not specified",,"AZ",,,,,,,,"For Candidates: 1) A 10% surcharge on civil penalties and criminal court fines, 2) The $5 qualifying contributions that participating candidates must provide to the fund, 3) A $5 tax checkoff (A taxpayer who checks the box receives a five-dollar reduction in the amount of tax, and five dollars from the amount of taxes paid shall be transferred by the department of revenue to the fund), and 4) A dollar-for-dollar tax credit not to exceed twenty percent of the tax amount on the return or five hundred dollars per taxpayer (individual or business entity), whichever is higher.

For Political Parties: Tax forms include a checkoff giving taxpayers the opportunity to indicate a party they would like to contribute $2, $5, or $10 of their tax refund to. Since these funds are deducted from their refund, it does result in taxpayers receiving less money in their refund.",,
"AZ2014","AZ",2014,"ARS §§ 16-807,  43-612, Chapter 6, Article 2 (940-961)","Yes","Full Public Financing","Donors must be registered in the electoral district of the office the candidate is seeking","Must receive 200 qualifying contributions of $5 each from qualified electors","Yes","38133","Yes","Participating candidates are required to attend debates","No","The Supreme Court in McComish v. Bennett ruled that Arizona's matching funds in its public financing system were unconstitutional.",,"Yes","Yes","Yes","Full Public Financing","Donors must be registered in the electoral district of the office the candidate is seeking","Must receive 200 qualifying contributions of $5 each from qualified electors","Yes","38133","Yes","Participating candidates are required to attend debates","No","The Suprmee Court in McComish v. Bennett ruled that Arizona's matching funds in its public financing system were unconstitutional.",,"Yes","Yes","Yes","Full Public Financing","Donors must be registered electors in Arizona","Must receive 4000 qualifying contributions of $5 each from qualified electors","Yes","1,884,040","Yes","Participating candidates are required to attend debates","No","The Supreme Court in McComish v. Bennett ruled that Arizona's matching funds in its public financing system were unconstitutional.",,"Yes","Yes","Yes","Parties are eligible if they are qualified for representation on the state primary and general election ballot. A new party achieves this status through a petitioning process with a signature requirement of 1.33% of the total votes in the Gov. election","Taxpayers select which party they would like their funds distributed to","Not specified",,"AZ",,,,,,,,"For Candidates: 1) A 10% surcharge on civil penalties and criminal court fines, 2) The $5 qualifying contributions that participating candidates must provide to the fund, 3) A $5 tax checkoff (A taxpayer who checks the box receives a five-dollar reduction in the amount of tax, and five dollars from the amount of taxes paid shall be transferred by the department of revenue to the fund), and 4) A dollar-for-dollar tax credit not to exceed twenty percent of the tax amount on the return or five hundred dollars per taxpayer (individual or business entity), whichever is higher.

For Political Parties: Tax forms include a checkoff giving taxpayers the opportunity to indicate a party they would like to contribute $2, $5, or $10 of their tax refund to. Since these funds are deducted from their refund, it does result in taxpayers receiving less money in their refund.",,
