Identifier,State,Year,RefundOrTaxCreditOrTaxDeduction,RefundOrTaxCreditOrTaxDeduction_Citation,RefundOrTaxCreditFormula,RefundOrTaxCreditMax,EligibleContributionRecipients,EligibleToClaim_NoTaxOwed,EligibleToClaim_Deduction,EligibleToClaim_Other,EligibleToClaim_Other_Explained,Agency_Disclosure,Agency_Disclosure_Citation,Agency_Enforcement,Agency_Enforcement_Citation,Agency_PublicFinancing,Agency_PublicFinancing_Citation,Agency_RefundCreditDeduction,Agency_RefundCreditDeduction_Citation,Agency_Lobbying,Agency_Lobbying_Citation,Agency_DoingBusiness,Agency_DoingBusiness_Citation,Agency_FinancialDisclosureEthics,Agency_FinancialDisclosureEthics_Citation,Agency_Other,Agency_Other_Citation,OtherProvisions,OtherProvisions_Explained
"FL1996","FL",1996,"None",,,,,,,,,"Division of Elections","Fla. Stat. §§ 106.22, 106.23","Division of Elections and Florida Elections Commission","Fla. Stat. §§ 106.22, 106.23, 106.24, 106.25","Division of Elections and Florida Elections Commission","Fla. Stat. §§ 106.22, 106.23, 106.24, 106.25","N/A","N/A",,,,,"Division of Elections","Fla. Stat. §§ 106.22, 106.23","Department of State, other gov't agencies: ""nothing in this section limits the jurisdiction of any other officers or agencies of government empowered by law to investigate, act upon, or dispose of alleged violations of this code""","Fla. Stat. § 106.25","No","N/A"
"FL1998","FL",1998,"None",,,,,,,,,"Division of Elections","Fla. Stat. §§ 106.22, 106.23","Division of Elections and Florida Elections Commission","Fla. Stat. §§ 106.22, 106.23, 106.24, 106.25","Division of Elections and Florida Elections Commission","Fla. Stat. §§ 106.22, 106.23, 106.24, 106.25","N/A","N/A",,,,,"Division of Elections","Fla. Stat. §§ 106.22, 106.23","Department of State, other gov't agencies: ""nothing in this section limits the jurisdiction of any other officers or agencies of government empowered by law to investigate, act upon, or dispose of alleged violations of this code""","Fla. Stat. § 106.25","No","N/A"
"FL2000","FL",2000,"None",,,,,,,,,"Division of Elections","Fla. Stat. §§ 106.22, 106.23","Division of Elections and Florida Elections Commission","Fla. Stat. §§ 106.22, 106.23, 106.24, 106.25","Division of Elections and Florida Elections Commission","Fla. Stat. §§ 106.22, 106.23, 106.24, 106.25","N/A","N/A",,,,,"Division of Elections","Fla. Stat. §§ 106.22, 106.23","Department of State, other gov't agencies: ""nothing in this section limits the jurisdiction of any other officers or agencies of government empowered by law to investigate, act upon, or dispose of alleged violations of this code""","Fla. Stat. § 106.25","No","N/A"
"FL2002","FL",2002,"None",,,,,,,,,"Division of Elections","Fla. Stat. § 106.22","Division of Elections and Florida Elections Commission","Fla. Stat. §§ 106.22, 106.23, 106.24, 106.25","Division of Elections and Florida Elections Commission","Fla. Stat. §§ 106.22, 106.24","N/A","N/A",,,,,"Division of Elections","Fla. Stat. §§ 106.22, 106.23","Department of State, other gov't agencies: ""nothing in this section limits the jurisdiction of any other officers or agencies of government empowered by law to investigate, act upon, or dispose of alleged violations of this code""","Fla. Stat. § 106.25","No","N/A"
"FL2004","FL",2004,"None",,,,,,,,,"Division of Elections","Fla. Stat. § 106.22","Division of Elections and Florida Elections Commission","Fla. Stat. §§ 106.22, 106.23, 106.24, 106.25","Division of Elections and Florida Elections Commission","Fla. Stat. §§ 106.22, 106.24","N/A","N/A",,,,,"Division of Elections","Fla. Stat. §§ 106.22, 106.23","Department of State, other gov't agencies: ""nothing in this section limits the jurisdiction of any other officers or agencies of government empowered by law to investigate, act upon, or dispose of alleged violations of this code""","Fla. Stat. § 106.25","No","N/A"
"FL2006","FL",2006,"None",,,,,,,,,"Division of Elections","Fla. Stat. § 106.22","Division of Elections and Florida Elections Commission","Fla. Stat. §§ 106.22, 106.23, 106.24, 106.25","Division of Elections and Florida Elections Commission","Fla. Stat. §§ 106.22, 106.24","N/A","N/A",,,,,"Division of Elections","Fla. Stat. §§ 106.22, 106.23","Department of State, other gov't agencies: ""nothing in this section limits the jurisdiction of any other officers or agencies of government empowered by law to investigate, act upon, or dispose of alleged violations of this code""","Fla. Stat. § 106.25","No","N/A"
"FL2008","FL",2008,"None",,,,,,,,,"Division of Elections","Fla. Stat. § 106.22","Division of Elections and Florida Elections Commission","Fla. Stat. §§ 106.22, 106.23, 106.24, 106.25","Division of Elections and Florida Elections Commission","Fla. Stat. §§ 106.22, 106.24","N/A","N/A",,,,,"Division of Elections","Fla. Stat. §§ 106.22, 106.23","Department of State, other gov't agencies: ""nothing in this section limits the jurisdiction of any other officers or agencies of government empowered by law to investigate, act upon, or dispose of alleged violations of this code""","Fla. Stat. § 106.25","No","N/A"
"FL2010","FL",2010,"None",,,,,,,,,"Division of Elections","Fla. Stat. § 106.22","Division of Elections and Florida Elections Commission","Fla. Stat. §§ 106.22, 106.23, 106.24, 106.25","Division of Elections and Florida Elections Commission","Fla. Stat. §§ 106.22, 106.24
*But now, all the Division of Elections does is ""conduct a postelection audit of the campaign accounts of all candidates receiving contributions from the Election Campaign Financing Trust Fund."" The Florida Elections Commission is primarily responsible for enforcing public financing (per 106.24, which was changed mid-cycle).","N/A","N/A",,,,,"Division of Elections","Fla. Stat. §§ 106.22, 106.23","Department of State, other gov't agencies: ""nothing in this section limits the jurisdiction of any other officers or agencies of government empowered by law to investigate, act upon, or dispose of alleged violations of this code""","Fla. Stat. § 106.25","No","N/A"
"FL2012","FL",2012,"None",,,,,,,,,"Division of Elections","Fla. Stat. § 106.22","Division of Elections and Florida Elections Commission","Fla. Stat. §§ 106.22, 106.23, 106.24, 106.25","Division of Elections and Florida Elections Commission","Fla. Stat. §§ 106.22, 106.24
*The Division of Elections only ""conduct[s] a postelection audit of the campaign accounts of all candidates receiving contributions from the Election Campaign Financing Trust Fund."" The Florida Elections Commission is primarily responsible for enforcing public financing.","N/A","N/A",,,,,"Division of Elections","Fla. Stat. §§ 106.22, 106.23","Department of State, other gov't agencies: ""nothing in this section limits the jurisdiction of any other officers or agencies of government empowered by law to investigate, act upon, or dispose of alleged violations of this code""","Fla. Stat. § 106.25","No","N/A"
"FL2014","FL",2014,"None",,,,,,,,,"Division of Elections","Fla. Stat. § 106.22","Division of Elections and Florida Elections Commission","Fla. Stat. §§ 106.22, 106.23, 106.24, 106.25","Division of Elections and Florida Elections Commission","Fla. Stat. §§ 106.22, 106.24
*The Division of Elections only ""conduct[s] a postelection audit of the campaign accounts of all candidates receiving contributions from the Election Campaign Financing Trust Fund."" The Florida Elections Commission is primarily responsible for enforcing public financing.","N/A","N/A",,,,,"Division of Elections","Fla. Stat. §§ 106.22, 106.23","Department of State, other gov't agencies: ""nothing in this section limits the jurisdiction of any other officers or agencies of government empowered by law to investigate, act upon, or dispose of alleged violations of this code""","Fla. Stat. § 106.25","No","N/A"
"FL2016","FL",2016,"None",,,,,,,,,"Division of Elections","Fla. Stat. § 106.22","Division of Elections and Florida Elections Commission","Fla. Stat. §§ 106.22, 106.23, 106.24, 106.25","Division of Elections and Florida Elections Commission","Fla. Stat. §§ 106.22, 106.24
*The Division of Elections only ""conduct[s] a postelection audit of the campaign accounts of all candidates receiving contributions from the Election Campaign Financing Trust Fund."" The Florida Elections Commission is primarily responsible for enforcing public financing.","N/A","N/A",,,,,"Division of Elections","Fla. Stat. §§ 106.22, 106.23","Department of State, other gov't agencies: ""nothing in this section limits the jurisdiction of any other officers or agencies of government empowered by law to investigate, act upon, or dispose of alleged violations of this code""","Fla. Stat. § 106.25","No","N/A"
"FL2018","FL",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GA1996","GA",1996,"None",,,,,,,,,"Secretary of State","Ga. Code Ann. § 21-2-50","State Election Board; Attorney General","Ga. Code Ann.  § 21-2-33.1","N/A","N/A","N/A","N/A","State Election Commission, County Clerks, Municipal Clerks","Ga. Code Ann.  § 21-5-73","State Election Board, Attorney General","Ga. Code Ann.  § 21-2-33.1","State Election Board","Ga. Code Ann.  § 21-2-33",,,"No","N/A"
"AK1996","AK",1996,"None",,,,,,,,,"Alaska Public Offices Commission","Alaska Stat. § 15.13.020","Alaska Public Offices Commission","Alaska Stat. § 15.13.020","N/A","N/A","N/A","N/A","Alaska Public Offices Commission","Alaska Stat. § 15.13.020","Alaska Public Offices Commission","Alaska Stat. § 15.13.020","Alaska Public Offices Commission","Alaska Stat. § 15.13.020",,,"No","N/A"
"AK1998","AK",1998,"None",,,,,,,,,"Alaska Public Offices Commission","Alaska Stat. § 15.13.020","Alaska Public Offices Commission","Alaska Stat. § 15.13.020","N/A","N/A","N/A","N/A","Alaska Public Offices Commission","Alaska Stat. § 15.13.020","Alaska Public Offices Commission","Alaska Stat. § 15.13.020","Alaska Public Offices Commission","Alaska Stat. § 15.13.020",,,"No","N/A"
"AK2000","AK",2000,"None",,,,,,,,,"Alaska Public Offices Commission","Alaska Stat. § 15.13.020","Alaska Public Offices Commission","Alaska Stat. § 15.13.020","N/A","N/A","N/A","N/A","Alaska Public Offices Commission","Alaska Stat. § 15.13.020","Alaska Public Offices Commission","Alaska Stat. § 15.13.020","Alaska Public Offices Commission","Alaska Stat. § 15.13.020",,,"No","N/A"
"AK2002","AK",2002,"None",,,,,,,,,"Alaska Public Offices Commission","Alaska Stat. § 15.13.020","Alaska Public Offices Commission","Alaska Stat. § 15.13.020","N/A","N/A","N/A","N/A","Alaska Public Offices Commission","Alaska Stat. § 15.13.020","Alaska Public Offices Commission","Alaska Stat. § 15.13.020","Alaska Public Offices Commission","Alaska Stat. § 15.13.020",,,"No","N/A"
"AK2004","AK",2004,"None",,,,,,,,,"Alaska Public Offices Commission","Alaska Stat. § 15.13.020","Alaska Public Offices Commission","Alaska Stat. § 15.13.020","N/A","N/A","N/A","N/A","Alaska Public Offices Commission","Alaska Stat. § 15.13.020","Alaska Public Offices Commission","Alaska Stat. § 15.13.020","Alaska Public Offices Commission","Alaska Stat. § 15.13.020",,,"No","N/A"
"AK2006","AK",2006,"None",,,,,,,,,"Alaska Public Offices Commission","Alaska Stat. § 15.13.020","Alaska Public Offices Commission","Alaska Stat. § 15.13.020","N/A","N/A","N/A","N/A","Alaska Public Offices Commission","Alaska Stat. § 15.13.020","Alaska Public Offices Commission","Alaska Stat. § 15.13.020","Alaska Public Offices Commission","Alaska Stat. § 15.13.020",,,"No","N/A"
"AK2008","AK",2008,"None",,,,,,,,,"Alaska Public Offices Commission","Alaska Stat. § 15.13.020","Alaska Public Offices Commission","Alaska Stat. § 15.13.020","N/A","N/A","N/A","N/A","Alaska Public Offices Commission","Alaska Stat. § 15.13.020","Alaska Public Offices Commission","Alaska Stat. § 15.13.020","Alaska Public Offices Commission","Alaska Stat. § 15.13.020",,,"No","N/A"
