Identifier,State,Year,LengthTerm_H,LengthTerm_S,LengthTerm_G,JudgesElected,Candidate,Candidate_Citation,Candidate_Explained,Contribution,Contribution_Citation,Contribution_Explained,CoordinatedSpending_Contribution,Coordinated-or-Independent_Defined,Coordination-Independence_Explained,InKindContributions,InKindExceptions,InKindExceptions_Max,InKindExceptions_Explained,PoliticalParty Committee,PoliticalParty_Citation,Political Party_Explained,PoliticalCommittee_PAC,PoliticalCommittee_CitationPoliticalCommittee_Citation,PoliticalCommittee_Explained,PoliticalCommittee_IE-only,PoliticalCommittee_IE-only_Citation,PoliticalCommittee_IE-only_Explained,PoliticalCommittee_Special,PoliticalCommittee_Special_Citation,PoliticalCommittee_Special_Explained,PoliticalExpenditure,PoliticalExpenditure_Citation,PoliticalExpenditure_Explained,IndependentExpenditure,IndExp_Citation,IndExp_NameLikeness,IndepExpDefn_Content,IndepExpDefn_Timing,IndepExpDefn_Media,IndepExpDefn_Exceptions,IndExpDefn_Explained,Electioneering,Electioneering_Citation,Electioneering_NameLikeness,ElectioneeringDefn_Content,ElectioneeringDefn_Media,ElectioneeringDefn_Timing,ElectioneeringDefn_Exceptions,ElectioneeringDefn_Explained
"AZ1994","AZ",1994,,,,0,0,,,0,,,0,0,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,0,0,0,0,,0,,0,0,0,0,0,
"AZ1996","AZ",1996,,,,0,0,,,0,,,0,0,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,0,0,0,0,,0,,0,0,0,0,0,
"AZ1998","AZ",1998,,,,0,0,,,0,,,0,0,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,0,0,0,0,,0,,0,0,0,0,0,
"AZ2000","AZ",2000,,,,0,0,,,0,,,0,0,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,0,0,0,0,,0,,0,0,0,0,0,
"AZ2002","AZ",2002,,,,0,0,,,0,,,0,0,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,0,0,0,0,,0,,0,0,0,0,0,
"AZ2004","AZ",2004,,,,0,0,,,0,,,0,0,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,0,0,0,0,,0,,0,0,0,0,0,
"AZ2006","AZ",2006,,,,0,0,,,0,,,0,0,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,0,0,0,0,,0,,0,0,0,0,0,
"AZ2008","AZ",2008,,,,0,0,,,0,,,0,0,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,0,0,0,0,,0,,0,0,0,0,0,
"AZ2010","AZ",2010,,,,0,0,,,0,,,0,0,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,0,0,0,0,,0,,0,0,0,0,0,
"AZ2012","AZ",2012,,,,0,0,,,0,,,0,0,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,0,0,0,0,,0,,0,0,0,0,0,
"AZ2014","AZ",2014,,,,0,0,,,0,,,0,0,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,0,0,0,0,,0,,0,0,0,0,0,
"CA1994","CA",1994,,,,0,0,,,0,,,0,0,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,0,0,0,0,,0,,0,0,0,0,0,
"CA1996","CA",1996,,,,0,0,,,0,,,0,0,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,0,0,0,0,,0,,0,0,0,0,0,
"CA1998","CA",1998,,,,0,0,,,0,,,0,0,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,0,0,0,0,,0,,0,0,0,0,0,
"CA2000","CA",2000,,,,0,0,,,0,,,0,0,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,0,0,0,0,,0,,0,0,0,0,0,
"CA2002","CA",2002,,,,0,0,,,0,,,0,0,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,0,0,0,0,,0,,0,0,0,0,0,
"CA2004","CA",2004,,,,0,0,,,0,,,0,0,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,0,0,0,0,,0,,0,0,0,0,0,
"CA2006","CA",2006,,,,0,0,,,0,,,0,0,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,0,0,0,0,,0,,0,0,0,0,0,
"CA2008","CA",2008,,,,0,0,,,0,,,0,0,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,0,0,0,0,,0,,0,0,0,0,0,
"CA2010","CA",2010,,,,0,0,,,0,,,0,0,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,0,0,0,0,,0,,0,0,0,0,0,
"CA2012","CA",2012,,,,0,0,,,0,,,0,0,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,0,0,0,0,,0,,0,0,0,0,0,
"CA2014","CA",2014,,,,0,0,,,0,,,0,0,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,0,0,0,0,,0,,0,0,0,0,0,
"NY1994","NY",1994,,,,0,0,,,0,,,0,0,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,0,0,0,0,,0,,0,0,0,0,0,
"NY1996","NY",1996,,,,0,0,,,0,,,0,0,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,0,0,0,0,,0,,0,0,0,0,0,
"NY1998","NY",1998,,,,0,0,,,0,,,0,0,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,0,0,0,0,,0,,0,0,0,0,0,
"NY2000","NY",2000,,,,0,0,,,0,,,0,0,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,0,0,0,0,,0,,0,0,0,0,0,
"NY2002","NY",2002,,,,0,0,,,0,,,0,0,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,0,0,0,0,,0,,0,0,0,0,0,
"NY2004","NY",2004,,,,0,0,,,0,,,0,0,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,0,0,0,0,,0,,0,0,0,0,0,
"NY2006","NY",2006,,,,0,0,,,0,,,0,0,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,0,0,0,0,,0,,0,0,0,0,0,
"NY2008","NY",2008,,,,0,0,,,0,,,0,0,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,0,0,0,0,,0,,0,0,0,0,0,
"NY2010","NY",2010,,,,0,0,,,0,,,0,0,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,0,0,0,0,,0,,0,0,0,0,0,
"NY2012","NY",2012,,,,0,0,,,0,,,0,0,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,0,0,0,0,,0,,0,0,0,0,0,
"NY2014","NY",2014,,,,0,0,,,0,,,0,0,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,0,0,0,0,,0,,0,0,0,0,0,
